x	y	precise_y	difference
+3.0100e-02	+9.7035e-01	+9.7035e-01	-1.4603e-06
+3.0200e-02	+9.7025e-01	+9.7025e-01	-1.4650e-06
+3.0300e-02	+9.7016e-01	+9.7015e-01	-1.4697e-06
+3.0400e-02	+9.7006e-01	+9.7006e-01	-1.4744e-06
+3.0500e-02	+9.6996e-01	+9.6996e-01	-1.4791e-06
+3.0600e-02	+9.6986e-01	+9.6986e-01	-1.4838e-06
+3.0700e-02	+9.6977e-01	+9.6977e-01	-1.4885e-06
+3.0800e-02	+9.6967e-01	+9.6967e-01	-1.4932e-06
+3.0900e-02	+9.6957e-01	+9.6957e-01	-1.4979e-06
+3.1000e-02	+9.6948e-01	+9.6948e-01	-1.5026e-06
+3.1100e-02	+9.6938e-01	+9.6938e-01	-1.5073e-06
+3.1200e-02	+9.6928e-01	+9.6928e-01	-1.5120e-06
+3.1300e-02	+9.6919e-01	+9.6918e-01	-1.5167e-06
+3.1400e-02	+9.6909e-01	+9.6909e-01	-1.5214e-06
+3.1500e-02	+9.6899e-01	+9.6899e-01	-1.5261e-06
+3.1600e-02	+9.6890e-01	+9.6889e-01	-1.5308e-06
+3.1700e-02	+9.6880e-01	+9.6880e-01	-1.5354e-06
+3.1800e-02	+9.6870e-01	+9.6870e-01	-1.5401e-06
+3.1900e-02	+9.6860e-01	+9.6860e-01	-1.5448e-06
+3.2000e-02	+9.6851e-01	+9.6851e-01	-1.5495e-06
+3.2100e-02	+9.6841e-01	+9.6841e-01	-1.5542e-06
+3.2200e-02	+9.6831e-01	+9.6831e-01	-1.5589e-06
+3.2300e-02	+9.6822e-01	+9.6822e-01	-1.5636e-06
+3.2400e-02	+9.6812e-01	+9.6812e-01	-1.5682e-06
+3.2500e-02	+9.6802e-01	+9.6802e-01	-1.5729e-06
+3.2600e-02	+9.6793e-01	+9.6793e-01	-1.5776e-06
+3.2700e-02	+9.6783e-01	+9.6783e-01	-1.5823e-06
+3.2800e-02	+9.6773e-01	+9.6773e-01	-1.5870e-06
+3.2900e-02	+9.6764e-01	+9.6764e-01	-1.5917e-06
+3.3000e-02	+9.6754e-01	+9.6754e-01	-1.5963e-06
+3.3100e-02	+9.6744e-01	+9.6744e-01	-1.6010e-06
+3.3200e-02	+9.6735e-01	+9.6735e-01	-1.6057e-06
+3.3300e-02	+9.6725e-01	+9.6725e-01	-1.6104e-06
+3.3400e-02	+9.6715e-01	+9.6715e-01	-1.6150e-06
+3.3500e-02	+9.6706e-01	+9.6705e-01	-1.6197e-06
+3.3600e-02	+9.6696e-01	+9.6696e-01	-1.6244e-06
+3.3700e-02	+9.6686e-01	+9.6686e-01	-1.6291e-06
+3.3800e-02	+9.6677e-01	+9.6676e-01	-1.6337e-06
+3.3900e-02	+9.6667e-01	+9.6667e-01	-1.6384e-06
+3.4000e-02	+9.6657e-01	+9.6657e-01	-1.6431e-06
+3.4100e-02	+9.6648e-01	+9.6647e-01	-1.6477e-06
+3.4200e-02	+9.6638e-01	+9.6638e-01	-1.6524e-06
+3.4300e-02	+9.6628e-01	+9.6628e-01	-1.6571e-06
+3.4400e-02	+9.6619e-01	+9.6618e-01	-1.6617e-06
+3.4500e-02	+9.6609e-01	+9.6609e-01	-1.6664e-06
+3.4600e-02	+9.6599e-01	+9.6599e-01	-1.6711e-06
+3.4700e-02	+9.6590e-01	+9.6590e-01	-1.6757e-06
+3.4800e-02	+9.6580e-01	+9.6580e-01	-1.6804e-06
+3.4900e-02	+9.6570e-01	+9.6570e-01	-1.6850e-06
+3.5000e-02	+9.6561e-01	+9.6561e-01	-1.6897e-06
+3.5100e-02	+9.6551e-01	+9.6551e-01	-1.6944e-06
+3.5200e-02	+9.6541e-01	+9.6541e-01	-1.6990e-06
+3.5300e-02	+9.6532e-01	+9.6532e-01	-1.7037e-06
+3.5400e-02	+9.6522e-01	+9.6522e-01	-1.7083e-06
+3.5500e-02	+9.6512e-01	+9.6512e-01	-1.7130e-06
+3.5600e-02	+9.6503e-01	+9.6503e-01	-1.7176e-06
+3.5700e-02	+9.6493e-01	+9.6493e-01	-1.7223e-06
+3.5800e-02	+9.6483e-01	+9.6483e-01	-1.7269e-06
+3.5900e-02	+9.6474e-01	+9.6474e-01	-1.7316e-06
+3.6000e-02	+9.6464e-01	+9.6464e-01	-1.7362e-06
+3.6100e-02	+9.6455e-01	+9.6454e-01	-1.7409e-06
+3.6200e-02	+9.6445e-01	+9.6445e-01	-1.7455e-06
+3.6300e-02	+9.6435e-01	+9.6435e-01	-1.7502e-06
+3.6400e-02	+9.6426e-01	+9.6425e-01	-1.7548e-06
+3.6500e-02	+9.6416e-01	+9.6416e-01	-1.7595e-06
+3.6600e-02	+9.6406e-01	+9.6406e-01	-1.7641e-06
+3.6700e-02	+9.6397e-01	+9.6397e-01	-1.7688e-06
+3.6800e-02	+9.6387e-01	+9.6387e-01	-1.7734e-06
+3.6900e-02	+9.6377e-01	+9.6377e-01	-1.7780e-06
+3.7000e-02	+9.6368e-01	+9.6368e-01	-1.7827e-06
+3.7100e-02	+9.6358e-01	+9.6358e-01	-1.7873e-06
+3.7200e-02	+9.6349e-01	+9.6348e-01	-1.7920e-06
+3.7300e-02	+9.6339e-01	+9.6339e-01	-1.7966e-06
+3.7400e-02	+9.6329e-01	+9.6329e-01	-1.8012e-06
+3.7500e-02	+9.6320e-01	+9.6319e-01	-1.8059e-06
+3.7600e-02	+9.6310e-01	+9.6310e-01	-1.8105e-06
+3.7700e-02	+9.6300e-01	+9.6300e-01	-1.8151e-06
+3.7800e-02	+9.6291e-01	+9.6291e-01	-1.8198e-06
+3.7900e-02	+9.6281e-01	+9.6281e-01	-1.8244e-06
+3.8000e-02	+9.6271e-01	+9.6271e-01	-1.8290e-06
+3.8100e-02	+9.6262e-01	+9.6262e-01	-1.8337e-06
+3.8200e-02	+9.6252e-01	+9.6252e-01	-1.8383e-06
+3.8300e-02	+9.6243e-01	+9.6242e-01	-1.8429e-06
+3.8400e-02	+9.6233e-01	+9.6233e-01	-1.8475e-06
+3.8500e-02	+9.6223e-01	+9.6223e-01	-1.8522e-06
